year,level_of_institution,control_of_institution,gender,all_students,american_indian_or_alaska_native,asian,black_or_african_american,hispanic_or_latino,native_hawaiian_or_other_pacific_islander,white,two_or_more_races,race_ethnicity_unknown,nonresident,level_of_institution_footnote
18-19,All 4-year institutions (cohort year 2013),Total,Total,59.5,35.3,73.8,40,52.9,49.7,63.7,55.9,52.6,70.5,2
18-19,All 4-year institutions (cohort year 2013),Total,Men,56.2,32.4,70.3,34.3,48.2,45.6,60.6,52.3,49.7,66.2,2
18-19,All 4-year institutions (cohort year 2013),Total,Women,62.3,37.6,76.9,44.2,56.4,53,66.4,58.6,55.1,75.7,2
18-19,All 4-year institutions (cohort year 2013),Public,Total,57.9,32.8,71.7,39.9,50.3,47.8,61.8,53.4,57.7,67.6,2
18-19,All 4-year institutions (cohort year 2013),Public,Men,54.5,30.3,68.1,33.8,45.5,43.3,58.6,49.7,54.4,63.7,2
18-19,All 4-year institutions (cohort year 2013),Public,Women,60.8,34.9,75.2,44.3,54.1,51.7,64.7,56.4,60.8,72.7,2
18-19,All 4-year institutions (cohort year 2013),Private nonprofit,Total,66.8,44.1,80.5,45.3,63.1,56.5,70.3,64.4,60.1,75.2,2
18-19,All 4-year institutions (cohort year 2013),Private nonprofit,Men,63.1,39.1,78.3,38.6,59,51.5,67,60.6,57.1,70.6,2
18-19,All 4-year institutions (cohort year 2013),Private nonprofit,Women,69.8,48,82.1,50.6,66,60.2,72.9,67.1,62.5,80.2,2
18-19,All 4-year institutions (cohort year 2013),Private for-profit,Total,35.4,32.8,56,24.2,47.8,44.2,36.4,39.6,21.7,62.5,2
18-19,All 4-year institutions (cohort year 2013),Private for-profit,Men,34.4,33,55.3,23.3,44,45,37.5,43.2,20.1,59.7,2
18-19,All 4-year institutions (cohort year 2013),Private for-profit,Women,36,32.8,56.6,24.9,50.1,43.7,35.7,36.7,23.1,65.4,2
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Total,63.4,40.8,76.1,44.3,57.9,53.4,66.7,59.3,59,72.3,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Men,59.9,37.9,72.9,38,53.3,49.5,63.4,55.6,55.7,67.7,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Total,Women,66.3,43,78.9,48.9,61.3,56.5,69.4,62.1,62,77.9,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Total,62.4,39.7,74.5,44.7,56.8,54.4,65.3,57.4,64.2,70.3,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Men,59,37.3,71.2,38.4,52,50.1,62.1,53.7,60.9,66,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Public,Women,65.2,41.6,77.6,49,60.4,58.2,68.1,60.3,67.2,76.2,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Total,67.9,48.5,81,46.7,63.9,58.2,71,65.5,61.8,75.3,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Men,64.1,43,79,39.7,60.1,53.6,67.7,61.8,58.2,70.6,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private nonprofit,Women,71,52.7,82.5,52.6,66.6,61.6,73.7,68.1,64.6,80.4,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Total,26.3,14.2,47.2,19.2,29.9,22.4,27.4,33.4,18.1,58.2,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Men,27.6,19.6,44.8,19.5,29.4,21.6,30.1,38.3,19.5,53.6,
18-19,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2013),Private for-profit,Women,25.1,10.1,49.8,18.9,30.3,22.9,25,27.6,16.6,62.4,
18-19,2-year institutions (cohort year 2016),Total,Total,34.9,30.9,42.7,28.2,33.5,35.4,37.7,29.2,34.1,36.8,
18-19,2-year institutions (cohort year 2016),Total,Men,33.3,30.3,38.1,25.4,29.9,30.7,37.5,27.5,31.3,34,
18-19,2-year institutions (cohort year 2016),Total,Women,36.4,31.3,47.5,30.5,36.6,39.2,37.9,30.7,36.8,40,
18-19,2-year institutions (cohort year 2016),Public,Total,29.8,24.2,37.6,20.4,26.2,25.6,34.1,24.2,26,35,
18-19,2-year institutions (cohort year 2016),Public,Men,29,24.6,34.4,19.1,23.8,23.1,34,22.8,25.2,32.3,
18-19,2-year institutions (cohort year 2016),Public,Women,30.7,23.8,41.2,21.6,28.5,27.9,34.1,25.5,26.9,38.3,
18-19,2-year institutions (cohort year 2016),Private nonprofit,Total,54.9,36.7,80,42.1,68.7,43.4,59.5,46.5,54.1,71.2,
18-19,2-year institutions (cohort year 2016),Private nonprofit,Men,56.5,30.4,83.3,40.4,66.5,16.7,63.3,44.5,49.5,67.7,
18-19,2-year institutions (cohort year 2016),Private nonprofit,Women,54.2,39.8,78.5,42.7,70.1,51.2,57.4,47.4,56.2,73.7,
18-19,2-year institutions (cohort year 2016),Private for-profit,Total,62.1,60.4,78,50.5,66.9,66.4,66,59.7,61.2,65.8,
18-19,2-year institutions (cohort year 2016),Private for-profit,Men,62.2,61.1,76.4,49.7,65.5,63.2,67,59.4,61.5,73.4,
18-19,2-year institutions (cohort year 2016),Private for-profit,Women,62,59.9,78.9,51,67.8,68.3,65.1,60,61.1,59.3,
18-19,Less-than-2-year institutions (cohort year 2016),Total,Total,68.7,,,,,,,,,,
18-19,Less-than-2-year institutions (cohort year 2016),Public,Total,73.1,,,,,,,,,,
18-19,Less-than-2-year institutions (cohort year 2016),Private nonprofit,Total,72.1,,,,,,,,,,
18-19,Less-than-2-year institutions (cohort year 2016),Private for-profit,Total,67.9,,,,,,,,,,
19-20,All 4-year institutions (cohort year 2014),Total,Total,60.1,36.2,74.7,40.5,53,47.6,64.5,55.9,48.2,70.1,2
19-20,All 4-year institutions (cohort year 2014),Total,Men,56.7,33.1,71.2,34.8,48.3,44.9,61.3,52.2,45.7,65.5,2
19-20,All 4-year institutions (cohort year 2014),Total,Women,62.9,38.6,77.9,44.8,56.6,49.8,67.3,58.8,50.4,75.8,2
19-20,All 4-year institutions (cohort year 2014),Public,Total,58.5,33.5,72.6,40.7,50.5,45.7,62.7,53.4,55.1,67.1,2
19-20,All 4-year institutions (cohort year 2014),Public,Men,55.1,30.8,68.9,34.5,45.4,41.8,59.4,49.5,51.6,63,2
19-20,All 4-year institutions (cohort year 2014),Public,Women,61.5,35.7,76.2,45.1,54.5,49.2,65.5,56.5,58.6,72.8,2
19-20,All 4-year institutions (cohort year 2014),Private nonprofit,Total,66.9,44.9,81.4,44.6,62.9,58,70.6,64.7,54.9,74.9,2
19-20,All 4-year institutions (cohort year 2014),Private nonprofit,Men,63.2,40.8,79.6,38.2,59.4,55.7,67.2,61.4,51.8,70.2,2
19-20,All 4-year institutions (cohort year 2014),Private nonprofit,Women,69.9,48.1,82.6,49.9,65.5,59.8,73.3,67,57.4,80.1,2
19-20,All 4-year institutions (cohort year 2014),Private for-profit,Total,36.1,36.1,59.7,24,48.5,34.4,38.4,35.5,22.3,64.3,2
19-20,All 4-year institutions (cohort year 2014),Private for-profit,Men,35.3,32.5,53.6,22.9,46.2,37.2,39.6,36.1,21,58,2
19-20,All 4-year institutions (cohort year 2014),Private for-profit,Women,36.6,38.4,64.1,24.7,50,32.8,37.5,35.1,23.4,70.2,2
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Total,64,41.5,77,45,58.7,52.3,67.4,59.5,54.2,72.1,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Men,60.5,38.2,73.7,38.6,54,48.7,64.1,55.8,51,67.2,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Total,Women,67,43.9,79.9,49.7,62.2,55.3,70.2,62.3,57.1,78.1,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Public,Total,63.1,39.4,75.3,45.7,57.6,51.8,66.2,57.3,62.2,70.2,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Public,Men,59.7,36.5,71.8,39.4,52.4,47.6,63,53.8,58.6,65.7,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Public,Women,66,41.6,78.7,50.1,61.5,55.6,68.9,60.1,65.8,76.7,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private nonprofit,Total,68,49.6,81.7,46.5,64,59.5,71.3,66.2,56.2,75,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private nonprofit,Men,64.1,45,80.1,39.6,60.5,56.6,67.7,62.5,52.4,70.2,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private nonprofit,Women,71.2,53.2,82.9,52.3,66.5,61.7,74.1,68.8,59.3,80.2,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private for-profit,Total,29,21.3,52.7,19.7,35.9,18.6,31.3,31.1,16.8,61.4,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private for-profit,Men,30.5,20.2,47.3,19.8,37,20,35,33.3,18.7,52,
19-20,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2014),Private for-profit,Women,27.5,22.3,58.3,19.6,34.6,17.5,27.5,29,14.8,69.9,
19-20,Total 2-year institutions (cohort year 2017),Total,Total,35.9,36.5,44.3,28,34.3,35.6,38.8,30.6,38.7,40.3,
19-20,Total 2-year institutions (cohort year 2017),Total,Men,34.2,35.8,39.8,25.7,30.8,31.9,38.3,28.9,33.9,37.3,
19-20,Total 2-year institutions (cohort year 2017),Total,Women,37.5,37,49.1,29.9,37.3,39.2,39.3,32.1,42.6,43.7,
19-20,Total 2-year institutions (cohort year 2017),Public,Total,30.8,28.9,39.6,20.8,26.8,21.9,35.2,26,27,38.2,
19-20,Total 2-year institutions (cohort year 2017),Public,Men,29.7,28.9,36.1,19.6,24,20.3,35,24.8,27.1,34.9,
19-20,Total 2-year institutions (cohort year 2017),Public,Women,31.8,28.9,43.6,22.1,29.4,23.7,35.4,27.2,26.9,42,
19-20,Total 2-year institutions (cohort year 2017),Private nonprofit,Total,54.5,41.6,84.2,37.5,61.9,45.9,64.5,46.8,49.1,70.2,
19-20,Total 2-year institutions (cohort year 2017),Private nonprofit,Men,54.8,35.8,70.1,35.9,62.7,53.8,66.3,42.7,37.9,67.9,
19-20,Total 2-year institutions (cohort year 2017),Private nonprofit,Women,54.4,45.5,89.8,38.2,61.4,41.7,63.5,49,51.3,72.5,
19-20,Total 2-year institutions (cohort year 2017),Private for-profit,Total,63.2,64.9,76.9,50.1,69,68.1,66.6,58.7,66.5,67.8,
19-20,Total 2-year institutions (cohort year 2017),Private for-profit,Men,63.2,65,76.4,50.7,67.8,65,66.6,56.8,64.4,74.3,
19-20,Total 2-year institutions (cohort year 2017),Private for-profit,Women,63.2,64.7,77.2,49.8,69.8,70.4,66.5,60.3,67.5,61.1,
19-20,Less-than-2-year institutions (cohort year 2017),Total,Total,69.3,,,,,,,,,,
19-20,Less-than-2-year institutions (cohort year 2017),Public,Total,71.2,,,,,,,,,,
19-20,Less-than-2-year institutions (cohort year 2017),Private nonprofit,Total,74.3,,,,,,,,,,
19-20,Less-than-2-year institutions (cohort year 2017),Private for-profit,Total,68.8,,,,,,,,,,
20-21,All 4-year institutions (cohort year 2015),Total,Total,60.92,38.21,75.43,41.73,53.81,48.9,65.34,56.85,52.87,69.99,2
20-21,All 4-year institutions (cohort year 2015),Total,Men,57.52,34.98,71.93,35.84,48.95,47.34,62.23,53.16,50.37,65.3,2
20-21,All 4-year institutions (cohort year 2015),Total,Women,63.75,40.68,78.53,46.05,57.45,50.23,67.98,59.67,55.08,75.64,2
20-21,All 4-year institutions (cohort year 2015),Public,Total,59.29,36.28,73.47,41.64,51.41,46.46,63.42,54.41,59.58,67,2
20-21,All 4-year institutions (cohort year 2015),Public,Men,55.87,33.39,69.73,35.44,46.32,44.27,60.26,50.77,56.29,63.01,2
20-21,All 4-year institutions (cohort year 2015),Public,Women,62.21,38.59,77.08,46.06,55.34,48.55,66.18,57.27,62.75,72.31,2
20-21,All 4-year institutions (cohort year 2015),Private nonprofit,Total,67.63,47.51,81.7,45.76,63.38,56.58,71.22,65.05,59.77,75.28,2
20-21,All 4-year institutions (cohort year 2015),Private nonprofit,Men,63.84,43.12,79.74,38.86,59.29,55.96,68.05,61,55.46,70.15,2
20-21,All 4-year institutions (cohort year 2015),Private nonprofit,Women,70.66,50.83,83.1,51.35,66.27,57.09,73.78,67.96,63.5,80.64,2
20-21,All 4-year institutions (cohort year 2015),Private for-profit,Total,37.77,31.56,63.21,25.63,49.72,44.27,40.82,38.66,23.26,59.6,2
20-21,All 4-year institutions (cohort year 2015),Private for-profit,Men,37.05,27.09,63.05,25.37,47.19,44.59,41.22,40.35,23.52,50.3,2
20-21,All 4-year institutions (cohort year 2015),Private for-profit,Women,38.26,33.89,63.31,25.79,51.31,44.1,40.54,37.42,23.06,68.49,2
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Total,Total,64.57,43.43,77.76,45.73,59.16,53.53,67.91,60.1,57.94,72.62,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Total,Men,61.16,38.98,74.56,39.31,54.49,52.52,64.84,56.35,55.34,67.85,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Total,Women,67.41,46.77,80.58,50.44,62.63,54.42,70.51,62.98,60.23,78.41,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Public,Total,63.64,41.74,76.3,46.15,58.1,53.04,66.65,58.28,65.93,70.87,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Public,Men,60.39,37.75,72.91,39.9,53.18,51.45,63.64,54.69,62.77,66.53,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Public,Women,66.39,44.71,79.55,50.43,61.78,54.51,69.26,61.08,68.93,76.82,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private nonprofit,Total,68.52,50.78,82.06,47.45,64.13,57.83,71.7,65.84,61,75.57,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private nonprofit,Men,64.66,44.75,80.2,40.11,60.21,57.43,68.46,61.58,56.6,70.55,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private nonprofit,Women,71.63,55.37,83.38,53.53,66.93,58.15,74.31,68.93,64.71,80.8,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private for-profit,Total,29.76,22.58,57.61,20.62,37.92,31.88,32.6,30.33,15.61,60.49,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private for-profit,Men,31.54,20.93,54.21,22.18,36.98,35.48,36.19,36.07,18.45,50.81,
20-21,Bachelor's or equivalent degree-seekers attending 4-year institutions and completing bachelor's or equivalent degree (cohort year 2015),Private for-profit,Women,28.16,24,60.47,19.14,38.81,28.95,29.22,24.51,13.39,68.24,
20-21,All 2-year institutions (cohort year 2018),Total,Total,36.34,35.63,45.36,28.87,33.75,32.11,39.48,31.2,41.24,41.68,
20-21,All 2-year institutions (cohort year 2018),Total,Men,34.47,33.15,40.99,26.5,30.07,30,39.05,29.81,33.8,37.17,
20-21,All 2-year institutions (cohort year 2018),Total,Women,38.06,37.6,50.16,30.83,36.86,34.08,39.91,32.44,46.7,46.79,
20-21,All 2-year institutions (cohort year 2018),Public,Total,31.41,27.37,41.67,21.43,27.2,21.24,35.91,26.93,28.62,39.4,
20-21,All 2-year institutions (cohort year 2018),Public,Men,30.23,26.56,38,20.05,24.27,20.62,35.72,25.78,26.89,34.9,
20-21,All 2-year institutions (cohort year 2018),Public,Women,32.57,28.06,45.91,22.73,29.8,21.88,36.11,27.98,30.52,44.59,
20-21,All 2-year institutions (cohort year 2018),Private nonprofit,Total,61.06,41.22,76.24,53.07,66.86,46.67,66.04,55.62,56.34,87.76,
20-21,All 2-year institutions (cohort year 2018),Private nonprofit,Men,64.77,38.55,72.34,55.24,66.14,50,73.43,48.46,49.23,86.84,
20-21,All 2-year institutions (cohort year 2018),Private nonprofit,Women,59.61,42.35,77.66,52.35,67.39,44.83,63.1,60.3,57.66,88.62,
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Total,61.17,62.56,74.45,49.14,65.17,63.11,65.74,55.47,62.33,70.27,
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Men,60.51,57.5,71.04,49.71,62.6,63.01,65.95,54.89,56.73,70.88,
20-21,All 2-year institutions (cohort year 2018),Private for-profit,Women,61.64,66.08,77.25,48.78,66.89,63.17,65.54,55.94,64.48,69.74,
